Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-02-13,SCHW,31,0.77,1.12,4.28,-2.57,59816.0,SCHW_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.77,0.77,1,True,62.71,63.33175,-0.6217499999999987
2024-02-13,ABNB,23,0.74,1.35,4.76,-2.4,59667.0,ABNB_Up_0.5_opendia_Afastado_0.5_Buy_Movimento,opendia_0.005,1.0,0.74,0.74,1,True,150.82,149.95605,0.8639499999999884
2024-02-13,WBD,24,0.71,1.53,4.74,-3.81,59665.0,WBD_Up_0.5_close_Afastado_-1_Sell_Movimento,9.86,1.0,0.71,0.71,1,False,9.54,9.86,0.3200000000000003
2024-02-13,USB,27,0.74,1.21,4.27,-3.61,59625.0,USB_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.74,0.74,1,True,39.93,40.23,-0.29999999999999716
2024-02-13,APO,34,0.71,1.01,3.12,-3.15,59574.0,APO_Down_0.5_high_Afastado_-1_Buy_GAP,110.6,0.75,0.71,0.71,1,True,109.87,110.6,-0.7299999999999898
2024-02-14,WSM,36,0.72,1.44,5.88,-2.12,65917.0,WSM_Up_0.5_opendia_Afastado_0.5_Buy_Pavio,opendia_0.005,1.0,0.72,0.72,1,False,111.2,112.62029999999999,-1.4202999999999832
2024-02-14,REGN,29,0.76,1.02,3.56,-2.02,65520.0,REGN_Down_0.5_close_Afastado_-0.5_Buy_Movimento,935.78,0.75,0.76,0.76,1,False,947.82,935.78,12.040000000000077
2024-02-14,FTNT,25,0.8,1.62,4.63,-2.4,65039.0,FTNT_Down_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.8,0.8,1,True,70.88,70.08,0.7999999999999972
2024-02-14,UBER,41,0.73,1.13,3.0,-4.39,63992.0,UBER_Up_0.5_high_Afastado_-0.5_Buy_Pavio,69.2,1.0,0.73,0.73,1,False,79.15,69.2,9.950000000000003
2024-02-14,KKR,32,0.75,1.32,3.75,-2.68,62910.0,KKR_Up_0.5_close_Afastado_-0.5_Buy_Pavio,95.4,0.75,0.75,0.75,1,False,95.95,95.4,0.5499999999999972
2024-02-14,PYPL,18,0.89,1.77,4.3,-3.35,62522.0,PYPL_Down_0.5_opendia_Afastado_0.5_Buy_GAP,opendia_0.005,1.0,0.89,0.89,1,True,58.87,58.892999999999994,-0.022999999999996135
2024-02-14,CRWD,22,0.77,1.5,5.91,-2.38,62490.0,CRWD_Down_0.5_opendia_Afastado_-1_Buy_GAP,opendia_-0.01,0.75,0.77,0.77,1,False,334.55,324.4824,10.067600000000027
2024-02-14,MTB,17,0.82,1.74,5.19,-2.5,60676.0,MTB_Down_0.5_opendia_Afastado_0_Buy_Corpo,opendia_0.0,0.75,0.82,0.82,1,True,136.16,134.41,1.75
2024-02-14,PCAR,30,0.77,0.99,4.33,-1.31,60304.0,PCAR_Down_0.5_high_Afastado_-1_Buy_GAP,104.35,0.75,0.77,0.77,1,False,106.67,104.35,2.3200000000000074
